mean_x,standard deviation_x,variance_x,rms_x,skewness_x,kurtosis_x,mean_y,standard deviation_y,variance_y,rms_y,skewness_y,kurtosis_y,fft_order1_x,fft_order2_x,fft_order3_x,fft_order1_y,fft_order2_y,fft_order3_y,class
0.001342072,0.006536463,4.27E-05,0.006672756,-0.058992278,1.491725565,-0.000691959,0.0027519,0.000007573,0.002837536,-0.068329569,2.564151924,0.005461813,0.000132735,0.001887628,0.001688011,0.000156123,0.000572128,0
0.001348255,0.006523367,4.26E-05,0.006661177,-0.068277987,1.472583657,-0.000665115,0.002736808,7.49E-06,0.002816442,-0.020452307,2.6174482,0.005470347,0.00020726,0.001886927,0.001653393,0.000209373,0.000584183,0
0.001344303,0.006519911,4.25E-05,0.006656993,-0.06104785,1.461537411,-0.000642241,0.002729891,7.45E-06,0.002804395,-0.043795881,2.527816135,0.00546319,0.000218837,0.001890266,0.001669077,0.000191013,0.000582362,0
0.001341885,0.006539606,4.28E-05,0.006675797,-0.06073953,1.463421483,-0.000675274,0.002718756,7.39E-06,0.002801336,-0.072459579,2.541328519,0.00548127,0.000193856,0.001892882,0.00165236,0.000187721,0.000571943,0
0.00133,0.006552705,4.29E-05,0.006686255,-0.071390017,1.509504365,-0.000707073,0.002860107,8.18E-06,0.002946185,-0.035143159,2.91532614,0.005445003,0.000165704,0.001887231,0.001682601,0.000161116,0.000581374,0
0.001360643,0.006581572,4.33E-05,0.006720684,-0.05811581,1.490047091,-0.000665761,0.002759688,7.62E-06,0.002838832,-0.048871071,2.556356749,0.00551809,0.000174081,0.001889579,0.001658971,0.000178582,0.000573913,0
0.001351083,0.00651943,0.000042503,0.006657894,-0.061268463,1.464974665,-0.000698486,0.002732491,7.47E-06,0.002820327,-0.061455827,2.565308107,0.005461469,0.000182587,0.001891577,0.001686405,0.000153755,0.000576978,0
0.001339489,0.00653196,4.27E-05,0.006667826,-0.064400445,1.455972358,-0.000695663,0.002725214,7.43E-06,0.002812578,-0.046697029,2.566504405,0.005485613,0.000190519,0.001889341,0.001664467,0.000200358,0.000573056,0
0.001340864,0.006541462,4.28E-05,0.00667741,-0.050424596,1.549786569,-0.000678201,0.002841944,8.08E-06,0.002921719,-0.046713341,4.176606658,0.005454725,0.000229326,0.001884292,0.001693842,0.00018699,0.00057829,0
0.001312218,0.006510052,4.24E-05,0.006640924,-0.059403809,1.467565957,-0.000708463,0.002737478,7.49E-06,0.002827642,-0.056437186,2.517819912,0.005460575,0.000215223,0.001896746,0.001676758,0.000187872,0.000574201,0
0.00133264,0.006525238,4.26E-05,0.006659867,-0.070411142,1.470253034,-0.000674974,0.002747764,7.55E-06,0.002829426,-0.060542799,2.562248616,0.005473245,0.000172454,0.001902492,0.001681319,0.000173771,0.000576812,0
0.001363793,0.006506442,4.23E-05,0.006647774,-0.070074621,1.478164722,-0.000691782,0.002744112,7.53E-06,0.002829941,-0.050449791,2.527215386,0.00544882,0.000171172,0.001877817,0.001682447,0.000190833,0.000599605,0
0.001341881,0.006518383,4.25E-05,0.006655008,-0.059327519,1.461617056,-0.000692114,0.002742361,7.52E-06,0.002828324,-0.073069591,2.545233862,0.005463606,0.00018789,0.001899731,0.001686837,0.000186361,0.00058401,0
0.001349287,0.006531097,4.27E-05,0.006668956,-0.058948548,1.459854097,-0.000700396,0.002756038,7.60E-06,0.002843616,-0.02882886,2.559597637,0.005484081,0.000188405,0.001889636,0.001684726,0.000212869,0.000599618,0
0.001348762,0.006518705,4.25E-05,0.006656714,-0.05983901,1.46266608,-0.000700225,0.002758892,7.61E-06,0.00284634,-0.045118753,2.538191843,0.005469484,0.000202438,0.001863939,0.001680432,0.000166768,0.000581474,0
0.00136615,0.006538251,4.27E-05,0.00667939,-0.061569745,1.471182599,-0.000693295,0.002734174,7.48E-06,0.002820677,-0.05526897,2.537860859,0.005488421,0.000157855,0.001884102,0.001671627,0.000161295,0.000565066,0
0.001355552,0.006534437,4.27E-05,0.006673496,-0.063733954,1.458352635,-0.000662924,0.00273797,7.50E-06,0.002817055,-0.050657988,2.56623244,0.005492652,0.000199878,0.001861882,0.001679288,0.000201331,0.000598296,0
0.001366238,0.006533578,4.27E-05,0.006674834,-0.069269341,1.465036423,-0.000677271,0.002734203,7.48E-06,0.00281681,-0.062707329,2.597676622,0.005491145,0.00021061,0.001871811,0.00167505,0.00020107,0.000593252,0
0.001347267,0.006531085,4.27E-05,0.006668535,-0.067105792,1.469662165,-0.000666362,0.002732141,7.46E-06,0.002812203,-0.074870752,2.58222537,0.005482676,0.00021709,0.001890924,0.001664067,0.000190523,0.000585622,0
0.001348473,0.006522487,4.25E-05,0.00666036,-0.06087795,1.468317634,-0.00067297,0.002735765,7.48E-06,0.002817295,-0.047666352,2.552414234,0.005468036,0.000202917,0.001886158,0.001696142,0.000202047,0.000572759,0
0.001360629,0.006524723,0.000042572,0.00666502,-0.066797418,1.471235062,-0.000662341,0.002731003,7.46E-06,0.002810148,-0.04776101,2.515191179,0.005472435,0.000196803,0.001881024,0.001683303,0.000174336,0.000577629,0
0.001339638,0.006524447,4.26E-05,0.006660496,-0.060740298,1.457375167,-0.000668102,0.002728865,7.45E-06,0.002809434,-0.049843161,2.572545101,0.005476337,0.00017774,0.001893421,0.001668411,0.000177672,0.000566872,0
0.001351239,0.006526909,4.26E-05,0.00666525,-0.068359514,1.465245631,-0.000675308,0.002748535,7.55E-06,0.002830254,-0.035167898,2.534833173,0.005471744,0.000163966,0.001879674,0.001690135,0.000146613,0.000596215,0
0.001342564,0.006540033,0.000042772,0.006676352,-0.064234581,1.461825652,-0.000662453,0.002730583,7.46E-06,0.002809766,-0.042078112,2.53244408,0.005484159,0.000166672,0.001896178,0.001683769,0.000142624,0.000577773,0
0.001365731,0.006537947,4.27E-05,0.006679007,-0.064930456,1.46830114,-0.000672009,0.002719629,7.40E-06,0.002801399,-0.060815133,2.560105656,0.005495524,0.000153843,0.001852128,0.001656539,0.00013498,0.000580231,0
